age,gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class,height_m,BMI,BP_Category,fitness_score
45,F,159.0,63.1,30.9,93.0,144.0,34.1,19.0,30.0,155.0,A,1.59,24.959455717732684,Hypertension Stage 2,0.3589080459770115
25,F,164.2,66.6,30.2,82.0,120.0,25.7,22.9,39.0,178.0,C,1.642,24.701761465548834,Hypertension Stage 1,0.42873563218390803
26,M,179.9,71.5,9.7,64.0,135.0,59.6,17.8,61.0,239.0,A,1.7990000000000002,22.092441573216664,Hypertension Stage 1,0.8235632183908047
26,M,169.2,70.6,21.0,63.0,129.0,41.3,15.1,53.0,225.0,B,1.692,24.660619575362297,Elevated,0.6752873563218391
21,F,162.7,47.2,18.9,78.0,133.0,25.4,20.5,36.0,137.0,B,1.6269999999999998,17.830638401075284,Hypertension Stage 1,0.3339080459770115
25,F,161.7,63.36,31.3,89.0,128.0,25.0,10.7,39.0,160.0,C,1.617,24.232327439324525,Hypertension Stage 1,0.37183908045977004
59,F,155.9,62.7,30.2,76.0,143.0,36.8,29.1,25.0,122.0,A,1.5590000000000002,25.797362744246918,Hypertension Stage 2,0.2594827586206897
38,M,166.7,67.3,23.2,70.0,111.0,26.1,19.7,62.0,215.0,D,1.6669999999999998,24.218311706584903,Normal,0.6224137931034484
44,M,170.0,63.3,12.9,65.0,115.0,44.5,11.6,49.0,196.0,B,1.7,21.903114186851212,Normal,0.6129310344827587
23,F,164.1,59.4,29.6,91.0,126.0,24.6,27.5,32.0,169.0,C,1.641,22.058160015240183,Hypertension Stage 2,0.38132183908045975
62,M,169.0,70.7,30.5,96.0,146.0,39.3,4.0,43.0,131.0,C,1.69,24.754035222856345,Hypertension Stage 2,0.3433908045977012
47,F,158.3,53.5,29.2,70.0,117.0,25.9,8.1,32.0,151.0,D,1.5830000000000002,21.349708626359742,Normal,0.3344827586206897
48,M,175.8,84.5,31.4,83.0,125.0,33.8,3.7,24.0,211.0,D,1.758,27.34128786849261,Hypertension Stage 1,0.5002873563218392
36,M,176.0,81.3,24.5,81.0,139.0,46.2,8.1,54.0,232.0,C,1.76,26.246126033057852,Hypertension Stage 1,0.7022988505747125
50,F,159.8,57.1,24.4,63.0,103.0,30.8,24.4,30.0,143.0,A,1.598,22.36055394650071,Normal,0.33362068965517244
25,M,170.9,70.7,15.7,80.0,127.0,36.4,26.4,38.0,246.0,C,1.709,24.206683304338956,Hypertension Stage 1,0.6936781609195402
26,M,176.7,77.2,16.3,66.0,129.0,50.0,9.1,51.0,223.0,C,1.767,24.725449822229784,Elevated,0.7022988505747125
28,F,159.5,51.54,24.5,82.0,123.0,37.2,23.0,37.0,145.0,A,1.595,20.25923487387113,Hypertension Stage 1,0.37758620689655165
30,M,172.1,79.5,26.7,91.0,148.0,34.7,-2.0,40.0,192.0,D,1.7209999999999999,26.841413836867005,Hypertension Stage 2,0.5077586206896552
49,F,151.5,52.0,27.6,77.0,144.0,23.8,21.3,39.0,154.0,B,1.515,22.655730919626617,Hypertension Stage 2,0.36178160919540236
40,M,177.6,88.6,20.3,93.0,138.0,51.5,12.1,54.0,224.0,C,1.776,28.08974515055596,Hypertension Stage 1,0.7066091954022988
21,M,172.5,66.4,12.5,82.0,130.0,51.2,6.3,46.0,178.0,D,1.725,22.314639781558494,Hypertension Stage 1,0.5729885057471263
31,M,177.5,79.5,23.0,90.0,148.0,51.2,18.4,62.0,208.0,A,1.775,25.233088672882367,Hypertension Stage 2,0.6749999999999999
32,M,178.0,84.5,21.2,68.0,130.0,52.3,16.2,62.0,232.0,A,1.78,26.669612422673904,Hypertension Stage 1,0.7522988505747127
27,M,177.6,79.7,22.8,59.0,108.0,48.0,1.8,59.0,219.0,D,1.776,25.268089034980928,Normal,0.689367816091954
42,M,168.0,61.0,14.9,94.0,151.0,28.9,1.0,32.0,230.0,D,1.68,21.612811791383223,Hypertension Stage 2,0.6112068965517241
52,M,173.6,84.9,30.3,93.0,144.0,42.0,9.0,43.0,185.0,D,1.736,28.17138822230245,Hypertension Stage 2,0.5068965517241378
39,M,173.3,69.8,23.8,76.0,137.0,40.0,18.2,38.0,227.0,C,1.733,23.24118657911376,Hypertension Stage 1,0.6261494252873563
33,F,159.6,60.5,32.1,62.0,106.0,21.9,22.2,24.0,129.0,C,1.5959999999999999,23.751421159414832,Normal,0.228448275862069
25,F,161.8,57.7,21.7,74.0,115.0,29.3,26.6,50.0,190.0,A,1.618,22.04036480814569,Normal,0.5295977011494253
31,M,169.9,73.1,19.2,97.0,145.0,45.0,14.5,37.0,249.0,D,1.699,25.323901710004254,Hypertension Stage 2,0.7140804597701149
34,M,183.6,76.82,16.3,80.0,120.0,46.3,14.2,55.0,220.0,B,1.8359999999999999,22.789193140340135,Hypertension Stage 1,0.6945402298850575
28,M,180.1,82.1,15.0,83.0,147.0,52.6,18.8,55.0,247.0,A,1.801,25.311374611118936,Hypertension Stage 1,0.7939655172413793
58,M,164.2,64.0,19.8,93.0,150.0,36.8,18.3,38.0,205.0,B,1.642,23.737428435362244,Hypertension Stage 2,0.5652298850574712
48,M,169.8,75.4,14.7,94.0,149.0,51.4,24.7,55.0,246.0,A,1.6980000000000002,26.151462054020456,Hypertension Stage 2,0.7885057471264367
23,M,180.1,65.9,14.4,72.0,130.0,45.4,18.1,56.0,234.0,A,1.801,20.316925540471843,Hypertension Stage 1,0.7405172413793103
38,F,157.2,51.7,27.3,64.0,106.0,25.1,14.7,19.0,139.0,C,1.5719999999999998,20.921145491391986,Normal,0.2658045977011494
43,F,168.3,69.3,31.9,88.0,139.0,32.1,20.2,33.0,164.0,B,1.683,24.466114431512352,Hypertension Stage 1,0.38477011494252866
21,F,159.5,51.3,35.8,80.0,122.0,16.6,2.1,5.0,105.0,D,1.595,20.164896178300133,Hypertension Stage 1,0.07902298850574713
56,M,166.7,56.9,16.5,90.0,147.0,41.6,17.8,30.0,198.0,B,1.6669999999999998,20.475808857424678,Hypertension Stage 2,0.5454022988505748
24,M,164.4,66.2,17.1,63.0,110.0,40.2,16.2,43.0,232.0,C,1.6440000000000001,24.493698237637712,Normal,0.6747126436781608
58,F,146.5,46.4,32.9,71.0,127.0,18.7,17.4,20.0,111.0,C,1.465,21.61935491386038,Elevated,0.153735632183908
45,M,185.4,80.0,21.9,93.0,144.0,46.2,7.1,22.0,205.0,D,1.854,23.27397306503097,Hypertension Stage 2,0.5402298850574713
37,M,168.9,78.8,23.4,88.0,144.0,42.1,20.9,47.0,241.0,C,1.689,27.62275034957852,Hypertension Stage 1,0.6994252873563219
31,M,175.3,83.6,30.1,93.0,152.0,45.9,7.2,55.0,193.0,D,1.7530000000000001,27.204606299558506,Hypertension Stage 2,0.5761494252873561
43,F,164.0,50.8,22.4,88.0,124.0,24.0,13.5,28.0,160.0,C,1.64,18.887566924449736,Hypertension Stage 1,0.3629310344827586
23,F,162.4,58.9,29.6,71.0,119.0,28.1,25.5,48.0,178.0,A,1.624,22.33280351379553,Normal,0.46321839080459765
59,F,165.0,63.7,31.4,77.0,120.0,20.8,25.5,30.0,120.0,B,1.65,23.397612488521585,Elevated,0.21867816091954026
63,M,166.6,75.5,31.6,62.0,122.0,34.1,6.7,17.0,140.0,D,1.666,27.20175705336156,Elevated,0.27643678160919544
40,M,174.2,77.6,17.8,85.0,133.0,49.5,12.1,48.0,213.0,B,1.742,25.57204263940388,Hypertension Stage 1,0.6591954022988505
27,F,150.5,55.7,39.6,66.0,114.0,29.7,13.4,23.0,159.0,D,1.505,24.591340051434315,Normal,0.31264367816091954
56,F,160.2,62.4,33.3,67.0,103.0,28.8,20.7,15.0,133.0,B,1.6019999999999999,24.31417656767992,Normal,0.23045977011494254
35,M,179.0,75.0,10.7,74.0,129.0,47.7,16.6,54.0,233.0,A,1.79,23.40750912892856,Elevated,0.7491379310344827
30,M,172.7,78.0,26.6,79.0,140.0,36.9,3.4,25.0,218.0,D,1.7269999999999999,26.15230229110933,Hypertension Stage 2,0.5459770114942529
56,M,160.2,62.7,30.2,85.0,140.0,35.4,9.5,27.0,184.0,C,1.6019999999999999,24.431071647332228,Hypertension Stage 1,0.43936781609195413
36,M,171.5,80.5,21.5,86.0,153.0,46.7,16.8,53.0,220.0,A,1.715,27.369548402451358,Hypertension Stage 1,0.6749999999999999
60,M,175.1,66.5,17.3,85.0,125.0,40.4,13.9,31.0,211.0,C,1.751,21.68949064269712,Hypertension Stage 1,0.5798850574712643
22,M,172.2,70.6,24.3,70.0,118.0,36.7,9.8,50.0,213.0,D,1.722,23.808849337871177,Normal,0.6094827586206896
37,M,174.0,75.2,18.5,82.0,142.0,39.7,20.5,50.0,224.0,B,1.74,24.838155634826265,Hypertension Stage 1,0.6663793103448276
21,F,158.1,53.6,27.63524,70.0,115.0,18.9,12.4,17.0,116.0,D,1.581,21.44376552522623,Normal,0.17518609195402302
21,M,170.4,74.3,19.5,82.0,157.0,45.6,12.7,54.0,194.0,B,1.704,25.588783089774957,Hypertension Stage 1,0.6057471264367816
60,F,158.6,62.7,34.6,80.0,137.0,29.3,18.4,12.0,132.0,B,1.5859999999999999,24.926492687433715,Hypertension Stage 1,0.21666666666666673
27,F,168.5,64.2,26.2,76.0,108.0,25.2,23.1,18.0,164.0,D,1.685,22.611804277575747,Normal,0.3382183908045977
59,F,156.3,60.5,33.6,79.0,130.0,29.6,22.4,23.0,135.0,A,1.5630000000000002,24.764947897414984,Hypertension Stage 1,0.260632183908046
47,F,157.0,54.1,26.8,72.0,117.0,25.1,18.2,25.0,157.0,B,1.57,21.948152054850095,Normal,0.3362068965517241
21,F,161.3,50.6,23.5,69.0,127.0,27.5,29.4,39.0,175.0,A,1.6130000000000002,19.448306133250103,Elevated,0.4445402298850574
51,M,177.0,68.7,18.3,84.0,140.0,39.3,11.3,35.0,220.0,B,1.77,21.928564588719716,Hypertension Stage 1,0.6112068965517241
48,M,171.0,66.2,17.3,99.0,144.0,48.8,16.0,49.0,225.0,B,1.71,22.63944461543723,Hypertension Stage 2,0.6959770114942528
49,M,170.0,66.2,18.0,82.0,130.0,39.5,20.0,39.0,156.0,C,1.7,22.90657439446367,Hypertension Stage 1,0.44022988505747124
41,F,158.1,51.0,21.7,86.0,127.0,23.1,28.6,46.0,165.0,A,1.581,20.403582869151823,Hypertension Stage 1,0.428448275862069
24,F,159.0,45.5,24.5,85.0,135.0,28.5,22.9,57.0,197.0,A,1.59,17.99770578695463,Hypertension Stage 1,0.5594827586206896
35,M,178.4,79.0,15.4,73.0,127.0,52.7,14.7,68.0,260.0,A,1.784,24.822035432041666,Elevated,0.867816091954023
26,F,156.7,56.3,32.8,78.0,123.0,19.7,22.9,28.0,130.0,C,1.567,22.9282232581779,Elevated,0.2344827586206896
35,M,178.5,78.4,13.8,81.0,136.0,51.5,17.1,64.0,237.0,A,1.785,24.605920799692427,Hypertension Stage 1,0.7913793103448276
25,M,171.2,65.1,11.8,67.0,127.0,45.1,22.2,54.0,239.0,A,1.712,22.211273910385188,Elevated,0.7557471264367817
30,M,176.4,71.7,17.9,68.0,130.0,53.4,24.3,56.0,210.0,B,1.764,23.042096657257005,Hypertension Stage 1,0.6844827586206896
27,M,175.4,86.4,19.8,76.0,135.0,47.6,20.6,48.0,213.0,B,1.754,28.08371547555742,Hypertension Stage 1,0.6479885057471264
41,M,166.7,65.7,21.5,90.0,151.0,49.6,18.7,54.0,242.0,A,1.6669999999999998,23.64254203748333,Hypertension Stage 2,0.7494252873563219
50,F,158.4,57.2,32.0,69.0,134.0,21.1,18.6,17.0,136.0,C,1.584,22.797418630751963,Hypertension Stage 1,0.2264367816091954
22,M,175.8,72.0,30.4,75.0,115.0,34.6,19.0,54.0,188.0,C,1.758,23.296718657177134,Normal,0.5255747126436783
56,M,173.0,70.9,19.5,83.0,135.0,47.9,11.1,44.0,162.0,B,1.73,23.689398242507266,Hypertension Stage 1,0.49166666666666675
46,F,159.1,52.2,27.2,84.0,127.0,22.9,17.9,30.0,136.0,D,1.591,20.62196966674186,Hypertension Stage 1,0.28275862068965524
44,M,180.5,79.5,21.7,87.0,127.0,42.3,10.8,33.0,196.0,C,1.805,24.401286055202156,Hypertension Stage 1,0.5353448275862069
25,F,162.2,71.5,41.3,75.0,124.0,24.9,7.0,5.0,120.0,D,1.6219999999999999,27.17717694888867,Elevated,0.1301724137931035
25,F,156.3,48.6,26.5,73.0,138.0,22.8,29.8,41.0,155.0,A,1.5630000000000002,19.893825914287078,Hypertension Stage 1,0.3706896551724138
59,M,170.0,59.1,15.0,71.0,115.0,28.3,8.6,15.0,162.0,D,1.7,20.44982698961938,Normal,0.3649425287356322
30,M,178.4,82.5,30.0,97.0,139.0,39.3,1.9,42.0,200.0,D,1.784,25.921745862575158,Hypertension Stage 1,0.5402298850574713
24,M,176.0,67.2,10.8,81.0,120.0,47.7,17.2,55.0,242.0,A,1.76,21.694214876033058,Hypertension Stage 1,0.7775862068965517
39,M,168.8,70.9,25.5,83.0,128.0,33.7,5.4,33.0,201.0,D,1.6880000000000002,24.882920419577275,Hypertension Stage 1,0.5140804597701149
27,M,170.3,74.6,22.0,98.0,151.0,47.9,14.5,53.0,170.0,B,1.703,25.72228415262486,Hypertension Stage 2,0.5333333333333332
33,M,172.8,78.8,19.3,87.0,146.0,59.8,19.7,59.0,228.0,A,1.7280000000000002,26.38996056241426,Hypertension Stage 1,0.7591954022988505
28,F,163.6,52.4,20.3,72.0,118.0,31.0,23.5,23.0,130.0,C,1.636,19.577836096149593,Normal,0.2885057471264368
28,F,166.2,59.7,21.9,72.0,118.0,32.1,15.6,38.0,165.0,B,1.662,21.612862585636897,Normal,0.43074712643678154
35,M,179.2,64.7,12.9,88.0,128.0,49.7,22.5,46.0,239.0,A,1.7919999999999998,20.147829639668373,Hypertension Stage 1,0.742816091954023
34,M,177.8,76.4,28.9,82.0,130.0,41.1,5.3,38.0,194.0,C,1.778,24.167395273566058,Hypertension Stage 1,0.5198275862068966
35,M,184.7,84.18,16.3,70.0,120.0,48.8,15.3,56.0,229.0,A,1.847,24.67602096377186,Elevated,0.7304597701149425
34,M,173.2,73.77,19.5,80.0,120.0,50.0,18.1,59.0,218.0,B,1.732,24.591442697971615,Hypertension Stage 1,0.7017241379310345
25,M,164.3,61.18,22.0,78.0,145.0,43.3,18.6,47.0,209.0,C,1.643,22.663884370477085,Hypertension Stage 2,0.6149425287356322
32,M,169.2,68.7,15.2,80.0,120.0,48.3,21.1,64.0,254.0,B,1.692,23.996948510302975,Hypertension Stage 1,0.8270114942528736
21,F,169.1,56.1,22.6,77.0,120.0,26.3,31.3,24.0,162.0,C,1.6909999999999998,19.61894483649306,Elevated,0.3632183908045978
22,M,183.5,76.9,15.7,86.0,143.0,40.9,22.8,56.0,253.0,A,1.835,22.83779670203209,Hypertension Stage 1,0.7784482758620689
22,F,156.9,46.9,23.0,98.0,155.0,20.5,16.5,38.0,155.0,B,1.569,19.05140263413061,Hypertension Stage 2,0.36551724137931035
24,M,172.1,64.5,16.8,88.0,154.0,40.2,21.7,63.0,201.0,B,1.7209999999999999,21.77699613179776,Hypertension Stage 1,0.6439655172413792
27,M,178.2,75.1,15.9,59.0,129.0,49.2,16.7,55.0,229.0,A,1.7819999999999998,23.649640185367836,Elevated,0.7298850574712644
21,F,164.4,48.1,16.9,63.0,112.0,26.5,29.4,41.0,215.0,A,1.6440000000000001,17.796780743661238,Normal,0.5813218390804598
46,F,164.1,49.1,30.5,59.0,117.0,21.2,4.3,16.0,150.0,D,1.641,18.23326021461773,Normal,0.26839080459770115
29,F,162.2,51.7,29.2,83.0,118.0,29.7,23.7,44.0,183.0,A,1.6219999999999999,19.6511894861195,Hypertension Stage 1,0.4718390804597701
23,F,162.7,51.7,19.0,76.0,110.0,32.6,21.4,59.0,200.0,D,1.6269999999999998,19.53059333338119,Normal,0.6014367816091954
51,M,177.9,67.2,15.8,63.0,112.0,36.6,13.7,25.0,183.0,D,1.7790000000000001,21.23329418444718,Normal,0.4755747126436782
28,M,184.8,84.6,17.2,83.0,123.0,52.5,11.7,56.0,257.0,B,1.848,24.772305616461455,Hypertension Stage 1,0.8189655172413793
23,F,164.7,44.3,26.7,80.0,130.0,22.3,12.5,25.0,130.0,C,1.6469999999999998,16.331140979035318,Hypertension Stage 1,0.2508620689655173
30,M,178.3,93.5,27.3,81.0,129.0,57.0,16.1,47.0,222.0,A,1.7830000000000001,29.410941310545248,Hypertension Stage 1,0.6764367816091953
25,F,160.1,51.7,30.7,71.0,126.0,25.7,21.1,47.0,159.0,A,1.601,20.17009200605025,Elevated,0.3956896551724138
28,M,172.7,69.8,27.6,81.0,149.0,46.5,10.0,48.0,185.0,C,1.7269999999999999,23.402957691274757,Hypertension Stage 1,0.5419540229885058
22,M,178.3,73.2,23.4,93.0,132.0,42.7,11.7,46.0,208.0,C,1.7830000000000001,23.025464213175532,Hypertension Stage 1,0.603448275862069
51,M,167.7,72.7,29.0,90.0,148.0,36.3,6.1,37.0,180.0,D,1.6769999999999998,25.85046059689319,Hypertension Stage 2,0.46264367816091956
24,F,165.1,49.9,19.3,70.0,108.0,31.8,21.6,50.0,204.0,A,1.651,18.306545488830622,Normal,0.5839080459770115
27,F,160.3,47.8,19.5,60.0,111.0,27.3,28.0,37.0,173.0,A,1.6030000000000002,18.602051907508102,Normal,0.44396551724137934
30,M,169.5,71.9,20.6,72.0,125.0,45.9,13.0,66.0,235.0,B,1.695,25.02588734870041,Elevated,0.7557471264367814
42,M,180.2,73.3,20.4,95.0,140.0,53.7,26.0,41.0,211.0,C,1.8019999999999998,22.57326610831965,Hypertension Stage 2,0.6379310344827587
23,F,164.7,62.5,31.4,77.0,121.0,23.2,14.7,41.0,165.0,C,1.6469999999999998,23.04054878532071,Elevated,0.3864942528735632
27,F,160.2,54.5,20.7,77.0,130.0,22.2,22.5,35.0,171.0,C,1.6019999999999999,21.23593947016916,Hypertension Stage 1,0.414367816091954
29,M,167.9,70.7,25.3,75.0,135.0,47.3,16.2,53.0,181.0,B,1.679,25.079450777764492,Hypertension Stage 1,0.553735632183908
62,M,165.6,67.6,25.7,84.0,152.0,40.5,9.8,41.0,188.0,B,1.656,24.650516931550328,Hypertension Stage 1,0.5186781609195402
25,M,184.1,74.7,12.6,94.0,141.0,49.5,13.0,49.0,243.0,C,1.841,22.040072806002218,Hypertension Stage 2,0.7632183908045976
31,F,166.9,64.1,30.5,77.0,133.0,27.5,21.5,37.0,150.0,B,1.669,23.011522634040322,Hypertension Stage 1,0.34683908045977013
21,M,175.0,66.4,16.5,77.0,124.0,39.4,13.0,54.0,248.0,C,1.75,21.681632653061225,Elevated,0.7517241379310344
38,M,171.6,66.3,20.5,92.0,153.0,46.0,26.2,46.0,204.0,B,1.716,22.515363424454335,Hypertension Stage 2,0.6097701149425288
23,F,178.1,64.2,29.2,55.0,102.0,29.9,14.6,27.0,126.0,C,1.781,20.239845319661878,Normal,0.2597701149425288
56,M,170.1,61.5,22.0,89.0,148.0,37.7,20.5,40.0,195.0,A,1.7009999999999998,21.255263269764548,Hypertension Stage 1,0.5385057471264367
59,M,170.3,71.0,24.5,75.0,140.0,30.1,22.0,33.0,182.0,D,1.703,24.480994300755565,Hypertension Stage 2,0.45201149425287357
23,F,164.4,54.3,21.7,61.0,109.0,27.0,31.7,44.0,186.0,A,1.6440000000000001,20.09075248192942,Normal,0.4942528735632184
52,M,170.0,75.5,30.4,77.0,127.0,39.6,10.2,29.0,186.0,D,1.7,26.124567474048447,Elevated,0.4623563218390804
33,M,178.0,74.66,19.0,96.0,135.0,43.1,18.6,37.0,198.0,C,1.78,23.563943946471404,Hypertension Stage 1,0.5626436781609195
58,F,154.9,51.6,24.1,85.0,132.0,25.3,19.4,31.0,165.0,B,1.5490000000000002,21.505367381275573,Hypertension Stage 1,0.38477011494252883
21,F,160.9,61.4,36.5,71.0,103.0,27.3,20.8,47.0,169.0,C,1.609,23.716810467534046,Normal,0.41235632183908044
27,M,176.0,72.86,18.6,78.0,155.0,39.7,10.1,53.0,231.0,B,1.76,23.521435950413224,Hypertension Stage 2,0.6948275862068964
27,M,173.5,65.3,14.3,76.0,137.0,39.1,12.1,46.0,229.0,C,1.735,21.692730609838133,Hypertension Stage 1,0.6795977011494253
21,F,163.0,62.3,32.9,75.0,131.0,33.3,12.2,44.0,167.0,C,1.63,23.448379690616886,Hypertension Stage 1,0.42557471264367824
57,M,168.5,66.0,24.1,88.0,156.0,42.1,9.5,30.0,212.0,B,1.685,23.245780098442353,Hypertension Stage 1,0.5652298850574712
29,F,166.7,52.84,15.2,74.0,125.0,30.7,29.7,48.0,186.0,A,1.6669999999999998,19.01479332207944,Elevated,0.5350574712643678
45,M,170.0,70.0,20.0,73.0,137.0,34.2,8.5,36.0,219.0,D,1.7,24.221453287197235,Hypertension Stage 1,0.5916666666666666
24,F,155.5,64.4,34.8,60.0,109.0,24.7,16.7,43.0,174.0,B,1.555,26.633306107256963,Normal,0.41264367816091946
50,F,163.9,52.5,19.6,89.0,151.0,25.4,18.0,26.0,171.0,B,1.639,19.54345739023743,Hypertension Stage 1,0.40086206896551724
60,M,173.0,68.4,11.4,70.0,124.0,47.1,12.3,52.0,195.0,A,1.73,22.85408800828628,Elevated,0.6304597701149426
62,M,163.7,63.9,23.3,93.0,144.0,42.7,25.0,29.0,211.0,B,1.6369999999999998,23.84533890794319,Hypertension Stage 2,0.5635057471264366
39,F,159.2,45.3,19.6,64.0,105.0,20.8,18.7,36.0,161.0,B,1.5919999999999999,17.87360167672534,Normal,0.38764367816091966
22,F,162.2,60.4,27.1,74.0,115.0,34.9,22.6,37.0,148.0,A,1.6219999999999999,22.95806276521504,Normal,0.37212643678160917
54,F,156.5,52.2,30.1,72.0,117.0,20.5,13.5,16.0,110.0,C,1.565,21.312864273392606,Normal,0.15258620689655175
48,M,167.2,68.5,28.2,75.0,112.0,39.2,7.0,31.0,195.0,C,1.672,24.50293033584396,Normal,0.49913793103448273
61,F,160.9,63.1,30.9,83.0,130.0,27.5,21.1,27.0,140.0,A,1.609,24.373464829013002,Hypertension Stage 1,0.2882183908045977
60,M,172.5,76.0,23.1,86.0,154.0,47.3,16.0,41.0,206.0,A,1.725,25.54085276202478,Hypertension Stage 1,0.5974137931034482
27,M,168.6,67.2,23.7,77.0,123.0,45.0,11.6,41.0,223.0,C,1.686,23.640362541845555,Elevated,0.6379310344827587
40,F,162.5,51.4,22.5,91.0,143.0,26.9,26.3,36.0,174.0,A,1.625,19.465088757396448,Hypertension Stage 2,0.4341954022988506
36,M,172.1,65.64,19.9,86.0,142.0,47.3,15.4,39.0,215.0,B,1.7209999999999999,22.16189187738302,Hypertension Stage 1,0.6267241379310345
58,M,168.5,74.9,30.1,89.0,139.0,40.6,15.8,29.0,188.0,B,1.685,26.38043832383837,Hypertension Stage 1,0.47183908045977024
55,F,152.8,55.6,31.3,78.0,129.0,23.9,15.7,23.0,130.0,C,1.528,23.813766070009045,Elevated,0.2364942528735632
25,F,158.1,57.9,31.5,61.0,117.0,24.5,13.7,59.0,157.0,C,1.581,23.164067610272365,Normal,0.4186781609195402
21,M,169.6,64.5,10.9,77.0,134.0,46.2,21.5,65.0,248.0,A,1.696,22.42373843004628,Hypertension Stage 1,0.8189655172413793
23,F,163.8,57.5,31.7,84.0,127.0,32.9,28.8,43.0,164.0,A,1.6380000000000001,21.43088223674304,Hypertension Stage 1,0.41637931034482767
64,M,165.8,61.3,8.5,66.0,114.0,34.9,7.6,33.0,166.0,B,1.6580000000000001,22.299309849092236,Normal,0.4658045977011495
21,M,187.4,84.4,18.8,82.0,151.0,50.8,16.8,49.0,257.0,B,1.874,24.032739196942032,Hypertension Stage 1,0.7893678160919539
56,F,149.4,51.6,35.1,83.0,132.0,25.5,18.8,11.0,117.0,C,1.494,23.117906700429565,Hypertension Stage 1,0.15833333333333335
22,M,167.3,61.4,16.4,68.0,114.0,38.8,19.9,67.0,240.0,A,1.673,21.93696231665755,Normal,0.7646551724137932
28,F,165.4,62.0,31.1,58.0,102.0,25.0,21.7,31.0,170.0,C,1.6540000000000001,22.663171177125108,Normal,0.37816091954022996
53,F,152.7,46.9,27.5,68.0,126.0,23.5,18.5,20.0,152.0,B,1.527,20.113829694617174,Elevated,0.30086206896551726
23,M,165.7,62.7,23.2,70.0,123.0,37.7,25.5,35.0,237.0,D,1.6569999999999998,22.83613091112521,Elevated,0.6413793103448275
46,M,176.8,80.9,22.7,82.0,141.0,50.1,22.1,45.0,206.0,A,1.768,25.881175651604185,Hypertension Stage 1,0.6181034482758622
44,M,172.0,71.0,18.1,69.0,113.0,48.3,28.7,52.0,203.0,A,1.72,23.99945916711736,Normal,0.6376436781609195
27,M,173.8,68.4,13.9,69.0,110.0,47.8,14.1,49.0,244.0,B,1.7380000000000002,22.644177864058125,Normal,0.7574712643678162
45,M,166.5,71.5,26.6,99.0,160.0,47.8,24.2,47.0,201.0,A,1.665,25.791557323088853,Hypertension Stage 2,0.5916666666666666
63,M,164.7,73.8,36.7,81.0,141.0,35.6,9.0,22.0,135.0,D,1.6469999999999998,27.20628000570669,Hypertension Stage 1,0.26609195402298846
26,M,183.4,83.6,14.1,79.0,145.0,50.6,16.0,51.0,231.0,A,1.834,24.854647878614177,Hypertension Stage 2,0.7333333333333333
32,M,170.8,72.2,24.1,80.0,127.0,47.4,16.6,60.0,205.0,B,1.7080000000000002,24.749217074628824,Hypertension Stage 1,0.6465517241379308
22,F,167.0,50.3,18.9,77.0,120.0,27.9,23.3,39.0,168.0,A,1.67,18.03578471798917,Elevated,0.4387931034482758
